250020003-6,6,Rue de Bellevue,25440,Abbans-Dessus,OSM,47.115782,5.880082
250020003-7,7,Rue de Bellevue,25440,Abbans-Dessus,OSM,47.116304,5.877912
250020003-9,9,Rue de Bellevue,25440,Abbans-Dessus,BAN,47.116066,5.878996
250020018-1,1,Rue des Champs Limbas,25440,Abbans-Dessus,OSM,47.114697,5.876208
250020018-2,2,Rue des Champs Limbas,25440,Abbans-Dessus,BAN,47.11573,5.87597
250020018-3,3,Rue des Champs Limbas,25440,Abbans-Dessus,OSM,47.115056,5.876215
250020018-4,4,Rue des Champs Limbas,25440,Abbans-Dessus,OSM,47.116239,5.875858
250020018-5,5,Rue des Champs Limbas,25440,Abbans-Dessus,OSM,47.115388,5.876214
250020018-6,6,Rue des Champs Limbas,25440,Abbans-Dessus,BAN,47.116354,5.876604
250020018-7,7,Rue des Champs Limbas,25440,Abbans-Dessus,OSM,47.115825,5.875764
250020018-7A,7 a,Rue des Champs Limbas,25440,Abbans-Dessus,BAN,47.115569,5.876558
250020018-7B,7B,Rue des Champs Limbas,25440,Abbans-Dessus,OSM,47.115463,5.875723
250020018-7C,7 c,Rue des Champs Limbas,25440,Abbans-Dessus,BAN,47.115569,5.876558
250020020-1,1,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.113745,5.877249
250020020-11,11,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.114618,5.87807
250020020-12,12,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.114933,5.878491
250020020-13,13,Rue du Chatelot,25440,Abbans-Dessus,BAN,47.114124,5.87772
250020020-14,14,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.11512,5.878525
250020020-16,16,Rue du Chatelot,25440,Abbans-Dessus,BAN,47.115536,5.878675
250020020-17,17,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.115628,5.878653
250020020-19,19,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.115834,5.878983
250020020-20,20,Rue du Chatelot,25440,Abbans-Dessus,BAN,47.115945,5.879249
250020020-21,21,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.115953,5.879234
250020020-22,22,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.117446,5.880586
250020020-23,23,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.116091,5.879395
250020020-24,24,Rue du Chatelot,25440,Abbans-Dessus,BAN,47.117119,5.881435
250020020-25,25,Rue du Chatelot,25440,Abbans-Dessus,BAN,47.116259,5.881095
250020020-27,27,Rue du Chatelot,25440,Abbans-Dessus,BAN,47.116435,5.882022
250020020-3,3,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.113883,5.877419
250020020-5,5,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.114108,5.877606
250020020-7,7,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.114319,5.877766
250020020-8,8,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.11475,5.878365
250020020-9,9,Rue du Chatelot,25440,Abbans-Dessus,OSM,47.114194,5.877672
250020025-10,10,Rue des Combes,25440,Abbans-Dessus,OSM,47.112502,5.874586
250020025-12,12,Rue des Combes,25440,Abbans-Dessus,OSM,47.112541,5.874507
250020025-14,14,Rue des Combes,25440,Abbans-Dessus,BAN,47.11286,5.87394
250020025-2,2,Rue des Combes,25440,Abbans-Dessus,OSM,47.112603,5.87585
